Date	Time	S1 [°]	S2 [°]	L1 contact [mm]	L2 contact [mm]	L3 contact [mm]	L4 contact [mm]	Loading1 [N]	Loading2 [N]	Loading3 [N]	Loading4 [N]
14.05.2019	10:03:49.2	-0.02	0.21	0.00	0.00	0.00	0.00	0.08	-0.03	0.05	0.07
14.05.2019	10:03:50.0	-0.02	0.21	0.00	0.00	0.00	0.00	0.07	0.09	0.11	-0.01
14.05.2019	10:03:50.1	-0.02	0.21	0.00	0.00	0.00	0.00	0.04	0.23	-0.05	-0.01
14.05.2019	10:03:50.2	-0.02	0.21	0.00	0.00	0.00	0.00	0.01	-0.38	-0.05	0.02
14.05.2019	10:03:50.3	-0.02	0.21	0.00	0.00	0.00	0.00	0.03	0.08	0.08	0.02
14.05.2019	10:03:50.4	-0.02	0.21	0.00	0.00	0.00	0.00	0.03	-0.16	0.09	0.13
14.05.2019	10:03:50.5	-0.02	0.21	0.00	0.00	0.00	0.00	0.04	0.02	0.19	0.13
14.05.2019	10:03:50.6	-0.02	0.21	0.00	0.00	0.00	0.00	0.04	0.15	0.09	-0.08
14.05.2019	10:03:50.7	-0.02	0.21	0.00	0.00	0.00	0.00	0.16	0.01	0.09	0.07
14.05.2019	10:03:50.8	-0.02	0.21	0.00	0.00	0.00	0.00	-0.01	-0.06	0.08	-0.02
14.05.2019	10:03:50.9	-0.02	0.21	0.00	0.00	0.00	0.00	-0.03	0.03	0.00	0.17
14.05.2019	10:03:51.0	-0.02	0.21	0.00	0.00	0.00	0.00	0.03	-0.01	0.09	-0.05
14.05.2019	10:03:51.1	-0.02	0.21	0.00	0.00	0.00	0.00	-0.15	0.03	0.12	0.03
14.05.2019	10:03:51.2	-0.02	0.21	0.00	0.00	0.00	0.00	0.02	0.02	0.10	0.08
14.05.2019	10:03:51.3	-0.02	0.21	0.00	0.00	0.00	0.00	0.03	-0.17	-0.01	-0.02
14.05.2019	10:03:51.4	-0.02	0.23	0.00	0.00	0.00	0.00	-0.03	-0.00	0.03	0.03
14.05.2019	10:03:51.7	-0.02	0.23	0.00	0.00	0.00	0.00	0.24	0.05	0.27	0.01
14.05.2019	10:03:51.8	-0.02	0.23	0.00	0.00	0.00	0.00	-0.01	0.01	0.05	0.03
14.05.2019	10:03:51.9	-0.01	0.23	0.00	0.00	0.00	0.00	0.11	0.03	-0.02	0.06
14.05.2019	10:03:52.0	-0.02	0.23	0.00	0.00	0.00	0.00	0.12	-0.01	0.10	0.03
14.05.2019	10:03:52.1	-0.01	0.23	0.00	0.00	0.00	0.00	0.03	0.11	0.09	0.15
14.05.2019	10:03:52.2	-0.02	0.23	0.00	0.00	0.00	0.00	0.04	0.01	0.12	0.12
14.05.2019	10:03:52.3	-0.02	0.23	0.00	0.00	0.00	0.00	0.21	0.01	0.02	-0.07
14.05.2019	10:03:52.4	-0.02	0.23	0.00	0.00	0.00	0.00	0.19	0.00	0.05	0.04
14.05.2019	10:03:52.5	-0.01	0.23	0.00	0.00	0.00	0.00	0.03	0.04	0.01	-0.08
14.05.2019	10:03:52.6	-0.01	0.23	0.00	0.00	0.00	0.00	0.06	0.02	0.02	0.04
14.05.2019	10:03:52.7	-0.02	0.23	0.00	0.00	0.00	0.00	0.03	0.25	0.03	-0.06
14.05.2019	10:03:52.8	-0.02	0.23	0.00	0.00	0.00	0.00	0.03	-0.04	-0.11	0.12
14.05.2019	10:03:52.9	-0.02	0.23	0.00	0.00	0.00	0.00	0.07	0.12	0.23	-0.02
14.05.2019	10:03:53.0	-0.01	0.23	0.00	0.00	0.00	0.00	0.10	-0.08	0.07	-0.01
14.05.2019	10:03:53.1	-0.02	0.23	0.00	0.00	0.00	0.00	0.04	0.14	0.08	0.11
14.05.2019	10:03:53.2	-0.02	0.23	0.00	0.00	0.00	0.00	0.07	-0.03	0.03	0.20
14.05.2019	10:03:53.3	-0.01	0.23	0.00	0.00	0.00	0.00	0.09	0.06	0.09	0.22
14.05.2019	10:03:53.4	-0.02	0.23	0.00	0.00	0.00	0.00	0.01	-0.05	0.09	-0.09
14.05.2019	10:03:53.5	-0.02	0.23	0.00	0.00	0.00	0.00	0.07	0.13	0.08	-0.05
14.05.2019	10:03:53.6	-0.02	0.23	0.00	0.00	0.00	0.00	0.02	0.22	0.05	0.01
14.05.2019	10:03:53.7	-0.01	0.23	0.00	0.00	0.00	0.00	0.08	-0.01	-0.07	-0.08
14.05.2019	10:03:53.8	-0.02	0.23	0.00	0.00	0.00	0.00	-0.03	-0.03	-0.11	0.01
14.05.2019	10:03:53.9	-0.02	0.23	0.00	0.00	0.00	0.00	-0.05	0.02	0.02	0.02
14.05.2019	10:03:54.0	-0.02	0.23	0.00	0.00	0.00	0.00	0.03	-0.39	0.01	-0.11
14.05.2019	10:03:54.1	1.36	0.23	0.01	0.01	0.01	0.01	-0.01	-0.05	0.08	-0.06
14.05.2019	10:03:54.2	4.49	0.23	0.04	0.04	0.04	0.04	0.06	0.09	0.07	0.05
14.05.2019	10:03:54.3	7.53	0.23	0.07	0.07	0.07	0.07	-0.00	0.03	0.13	0.06
14.05.2019	10:03:54.4	10.46	0.23	0.10	0.10	0.10	0.10	0.06	0.21	0.16	0.10
14.05.2019	10:03:54.5	13.22	0.23	0.13	0.13	0.13	0.13	0.16	-0.01	0.19	0.03
14.05.2019	10:03:54.6	15.77	0.23	0.16	0.17	0.16	0.16	0.16	0.03	0.21	0.02
14.05.2019	10:03:54.7	18.08	0.23	0.20	0.20	0.20	0.20	0.10	0.11	0.27	0.28
14.05.2019	10:03:54.8	20.07	0.23	0.23	0.23	0.23	0.23	0.44	0.24	0.37	0.30
14.05.2019	10:03:54.9	21.78	0.23	0.26	0.26	0.26	0.26	0.29	0.24	0.33	0.23
14.05.2019	10:03:55.0	23.14	0.23	0.29	0.29	0.29	0.29	0.70	0.33	0.54	0.41
14.05.2019	10:03:55.1	24.13	0.23	0.32	0.32	0.32	0.32	0.60	0.41	0.59	0.55
14.05.2019	10:03:55.2	24.72	0.23	0.35	0.35	0.35	0.35	0.65	0.39	0.70	0.70
14.05.2019	10:03:55.3	24.96	0.23	0.38	0.38	0.38	0.38	0.78	0.36	0.76	0.78
14.05.2019	10:03:55.4	24.81	0.23	0.41	0.41	0.41	0.41	0.96	0.73	0.83	0.89
14.05.2019	10:03:55.5	24.24	0.23	0.44	0.44	0.44	0.44	1.04	0.85	1.04	1.00
14.05.2019	10:03:55.6	23.30	0.23	0.47	0.47	0.47	0.47	1.11	0.96	1.20	1.44
14.05.2019	10:03:55.7	21.99	0.23	0.50	0.50	0.50	0.50	1.32	1.04	1.35	1.46
14.05.2019	10:03:55.8	20.33	0.23	0.53	0.53	0.53	0.53	1.44	1.41	1.60	1.69
14.05.2019	10:03:55.9	18.35	0.23	0.56	0.56	0.56	0.56	1.83	1.44	1.99	1.91
14.05.2019	10:03:56.0	16.08	0.23	0.59	0.59	0.59	0.59	2.14	1.75	1.99	2.34
14.05.2019	10:03:56.1	13.53	0.23	0.64	0.64	0.64	0.64	2.32	2.13	2.49	2.65
14.05.2019	10:03:56.2	10.81	0.23	0.69	0.69	0.69	0.69	2.84	2.37	2.76	3.03
14.05.2019	10:03:56.3	7.89	0.23	0.70	0.70	0.70	0.70	2.61	2.35	2.87	2.92
14.05.2019	10:03:56.4	4.87	0.23	0.68	0.68	0.68	0.68	2.59	2.18	2.17	2.44
14.05.2019	10:03:56.5	1.75	0.23	0.62	0.62	0.62	0.62	1.96	1.46	1.72	1.54
14.05.2019	10:03:56.6	-1.40	0.23	0.56	0.56	0.56	0.56	1.69	1.01	1.21	1.21
14.05.2019	10:03:56.7	-4.53	0.23	0.51	0.51	0.51	0.51	1.08	0.72	0.85	0.98
14.05.2019	10:03:56.8	-7.56	0.23	0.50	0.50	0.50	0.50	1.23	0.74	0.90	0.97
14.05.2019	10:03:56.9	-10.49	0.23	0.52	0.52	0.52	0.52	1.45	1.14	1.22	1.19
14.05.2019	10:03:57.0	-13.24	0.23	0.58	0.58	0.58	0.58	1.79	1.67	1.81	1.79
14.05.2019	10:03:57.1	-15.79	0.23	0.64	0.64	0.64	0.64	2.31	1.86	2.54	2.49
14.05.2019	10:03:57.2	-18.10	0.23	0.69	0.69	0.69	0.69	2.73	2.41	2.78	2.90
14.05.2019	10:03:57.3	-20.11	0.23	0.70	0.70	0.70	0.70	2.68	2.18	2.70	2.79
14.05.2019	10:03:57.4	-21.80	0.23	0.68	0.68	0.68	0.68	2.60	2.01	2.33	2.40
14.05.2019	10:03:57.5	-23.17	0.23	0.62	0.62	0.62	0.62	2.08	1.46	1.64	1.72
14.05.2019	10:03:57.6	-24.16	0.23	0.56	0.56	0.56	0.56	1.61	1.07	1.03	1.06
14.05.2019	10:03:57.7	-24.76	0.23	0.51	0.51	0.51	0.51	1.23	0.60	0.86	0.82
14.05.2019	10:03:57.8	-24.99	0.23	0.50	0.50	0.50	0.50	1.28	0.77	0.71	0.98
14.05.2019	10:03:57.9	-24.85	0.23	0.52	0.52	0.52	0.52	1.42	0.86	0.99	1.20
14.05.2019	10:03:58.0	-24.29	0.23	0.58	0.58	0.58	0.58	1.57	1.42	1.46	1.50
14.05.2019	10:03:58.1	-23.34	0.23	0.64	0.64	0.64	0.64	1.94	1.68	2.03	2.00
14.05.2019	10:03:58.2	-22.02	0.23	0.69	0.69	0.69	0.69	2.04	1.79	2.09	2.23
14.05.2019	10:03:58.3	-20.36	0.23	0.70	0.70	0.70	0.70	1.97	1.75	2.02	2.00
14.05.2019	10:03:58.4	-18.40	0.23	0.68	0.68	0.68	0.68	1.83	1.63	1.93	1.85
14.05.2019	10:03:58.5	-16.12	0.23	0.62	0.62	0.62	0.62	1.45	1.44	1.39	1.37
14.05.2019	10:03:58.6	-13.57	0.23	0.56	0.56	0.56	0.56	1.06	0.81	0.84	0.91
14.05.2019	10:03:58.7	-10.83	0.23	0.51	0.51	0.51	0.51	0.68	0.66	0.59	0.72
14.05.2019	10:03:58.8	-7.92	0.23	0.50	0.50	0.50	0.50	0.73	0.60	0.60	0.68
14.05.2019	10:03:58.9	-4.89	0.23	0.52	0.52	0.52	0.52	0.88	0.89	0.79	0.95
14.05.2019	10:03:59.0	-1.78	0.23	0.58	0.58	0.58	0.58	1.24	1.33	1.60	1.22
14.05.2019	10:03:59.1	1.34	0.23	0.64	0.64	0.64	0.64	1.74	1.85	1.94	2.00
14.05.2019	10:03:59.2	4.46	0.23	0.69	0.69	0.69	0.69	2.16	2.11	2.18	2.31
14.05.2019	10:03:59.3	7.52	0.23	0.70	0.70	0.70	0.70	2.13	2.08	1.96	2.10
14.05.2019	10:03:59.4	10.45	0.23	0.68	0.68	0.68	0.68	1.99	1.89	1.86	2.05
14.05.2019	10:03:59.5	13.20	0.23	0.62	0.62	0.62	0.62	1.51	1.21	1.35	1.19
14.05.2019	10:03:59.6	15.75	0.23	0.56	0.56	0.56	0.56	1.08	0.74	0.82	0.88
14.05.2019	10:03:59.7	18.06	0.23	0.51	0.51	0.51	0.51	0.86	0.63	0.62	0.66
14.05.2019	10:03:59.8	20.07	0.23	0.50	0.50	0.50	0.50	0.71	0.73	0.81	0.58
14.05.2019	10:03:59.9	21.78	0.23	0.52	0.52	0.52	0.52	0.82	0.85	0.77	0.96
14.05.2019	10:04:00.0	23.13	0.23	0.58	0.58	0.58	0.58	1.28	1.30	1.19	1.44
14.05.2019	10:04:00.1	24.10	0.23	0.64	0.64	0.64	0.64	1.69	1.68	1.68	1.91
14.05.2019	10:04:00.2	24.72	0.23	0.69	0.69	0.69	0.69	2.11	2.11	2.03	2.13
14.05.2019	10:04:00.3	24.95	0.23	0.70	0.70	0.70	0.70	2.26	2.07	1.95	2.23
14.05.2019	10:04:00.4	24.80	0.23	0.68	0.68	0.68	0.67	1.95	1.59	1.55	1.73
14.05.2019	10:04:00.5	24.24	0.23	0.62	0.62	0.62	0.62	1.46	1.15	0.90	1.10
14.05.2019	10:04:00.6	23.30	0.23	0.56	0.56	0.56	0.56	0.87	0.78	0.51	0.83
14.05.2019	10:04:00.7	21.99	0.23	0.51	0.51	0.51	0.51	0.68	0.32	0.61	0.55
14.05.2019	10:04:00.8	20.32	0.23	0.50	0.50	0.50	0.50	0.75	0.46	0.53	0.78
14.05.2019	10:04:00.9	18.33	0.23	0.52	0.52	0.52	0.52	1.00	0.98	0.82	0.91
14.05.2019	10:04:01.0	16.08	0.23	0.58	0.58	0.58	0.58	1.39	1.32	1.41	1.59
14.05.2019	10:04:01.1	13.54	0.23	0.64	0.64	0.64	0.64	1.87	1.83	1.92	2.13
14.05.2019	10:04:01.2	10.80	0.23	0.69	0.69	0.69	0.69	2.36	2.15	2.26	2.60
14.05.2019	10:04:01.3	7.88	0.23	0.70	0.70	0.70	0.70	2.47	2.20	2.16	2.48
14.05.2019	10:04:01.4	4.87	0.23	0.68	0.68	0.68	0.68	2.23	1.89	1.85	2.10
14.05.2019	10:04:01.5	1.75	0.23	0.62	0.62	0.62	0.62	1.75	1.26	1.34	1.33
14.05.2019	10:04:01.6	-1.41	0.23	0.56	0.56	0.56	0.56	1.08	0.81	0.81	1.16
14.05.2019	10:04:01.7	-4.52	0.23	0.51	0.51	0.51	0.51	0.90	0.51	0.54	0.70
14.05.2019	10:04:01.8	-7.55	0.23	0.50	0.50	0.50	0.50	0.86	0.51	0.62	0.93
14.05.2019	10:04:01.9	-10.49	0.23	0.52	0.52	0.52	0.52	1.11	0.91	0.68	1.01
14.05.2019	10:04:02.0	-13.24	0.23	0.58	0.58	0.58	0.58	1.44	1.21	1.49	1.60
14.05.2019	10:04:02.1	-15.80	0.23	0.64	0.64	0.64	0.64	1.98	1.98	2.20	2.30
14.05.2019	10:04:02.2	-18.10	0.23	0.69	0.69	0.69	0.69	2.45	2.13	2.32	2.48
14.05.2019	10:04:02.3	-20.11	0.23	0.70	0.70	0.70	0.70	2.55	2.37	2.41	2.61
14.05.2019	10:04:02.4	-21.81	0.23	0.68	0.68	0.68	0.68	2.37	1.87	2.03	2.13
14.05.2019	10:04:02.5	-23.16	0.23	0.62	0.62	0.62	0.62	1.87	1.31	1.26	1.48
14.05.2019	10:04:02.6	-24.15	0.23	0.56	0.56	0.56	0.56	1.45	0.83	0.75	0.98
