Date	Time	S1 [°]	S2 [°]	L1 contact [mm]	L2 contact [mm]	L3 contact [mm]	L4 contact [mm]	Loading1 [N]	Loading2 [N]	Loading3 [N]	Loading4 [N]
12.05.2019	13:32:36.3	0.00	0.05	0.00	0.00	0.00	0.00	0.14	-0.18	-0.14	0.13
12.05.2019	13:32:37.4	0.00	0.05	0.00	0.00	0.00	0.00	-0.19	-0.10	-0.05	0.14
12.05.2019	13:32:37.5	0.00	0.05	0.00	0.00	0.00	0.00	0.20	-0.17	-0.11	0.18
12.05.2019	13:32:37.6	0.00	0.05	0.00	0.00	0.00	0.00	0.27	0.01	-0.14	0.25
12.05.2019	13:32:37.7	0.00	0.05	0.00	0.00	0.00	0.00	0.14	-0.07	-0.05	0.22
12.05.2019	13:32:37.7	0.00	0.05	0.00	0.00	0.00	0.00	0.13	0.15	-0.08	0.25
12.05.2019	13:32:37.9	0.00	0.05	0.00	0.00	0.00	0.00	0.07	-0.24	0.01	0.18
12.05.2019	13:32:38.0	0.00	0.05	0.00	0.00	0.00	0.00	0.16	-0.07	0.05	-0.11
12.05.2019	13:32:38.1	0.00	0.05	0.00	0.00	0.00	0.00	0.17	0.13	-0.05	0.16
12.05.2019	13:32:38.2	0.00	0.05	0.00	0.00	0.00	0.00	0.11	-0.13	-0.03	0.15
12.05.2019	13:32:38.2	0.00	0.05	0.00	0.00	0.00	0.00	0.12	-0.05	-0.10	-0.17
12.05.2019	13:32:38.4	0.00	0.05	0.00	0.00	0.00	0.00	0.11	0.03	0.03	0.14
12.05.2019	13:32:38.7	0.00	0.05	0.00	0.00	0.00	0.00	0.11	-0.05	-0.12	-0.17
12.05.2019	13:32:38.9	0.00	0.05	0.00	0.00	0.00	0.00	0.09	-0.07	-0.12	0.16
12.05.2019	13:32:39.0	0.00	0.05	0.00	0.00	0.00	0.00	0.14	-0.07	0.05	0.36
12.05.2019	13:32:39.1	0.00	0.05	0.00	0.00	0.00	0.00	0.05	-0.17	-0.26	0.14
12.05.2019	13:32:39.2	0.00	0.05	0.00	0.00	0.00	0.00	0.11	-0.26	0.11	0.15
12.05.2019	13:32:39.2	0.00	0.05	0.00	0.00	0.00	0.00	0.27	-0.04	-0.06	0.43
12.05.2019	13:32:39.4	0.00	0.05	0.00	0.00	0.00	0.00	0.11	-0.01	-0.07	0.14
12.05.2019	13:32:39.5	0.00	0.05	0.00	0.00	0.00	0.00	0.17	-0.05	-0.07	0.21
12.05.2019	13:32:39.6	0.00	0.05	0.00	0.00	0.00	0.00	0.12	0.09	-0.07	0.16
12.05.2019	13:32:39.7	0.00	0.05	0.00	0.00	0.00	0.00	0.02	-0.28	-0.04	0.13
12.05.2019	13:32:39.7	0.00	0.05	0.00	0.00	0.00	0.00	0.17	-0.02	0.03	0.50
12.05.2019	13:32:39.9	0.00	0.05	0.00	0.00	0.00	0.00	0.11	-0.15	-0.21	0.32
12.05.2019	13:32:40.0	0.00	0.05	0.00	0.00	0.00	0.00	-0.03	-0.25	-0.04	0.21
12.05.2019	13:32:40.1	0.00	0.05	0.00	0.00	0.00	0.00	0.09	-0.04	-0.07	0.07
12.05.2019	13:32:40.2	0.00	0.05	0.00	0.00	0.00	0.00	0.12	-0.12	-0.01	0.13
12.05.2019	13:32:40.2	0.00	0.05	0.00	0.00	0.00	0.00	0.11	0.22	-0.05	0.16
12.05.2019	13:32:40.4	0.00	0.05	0.00	0.00	0.00	0.00	0.04	-0.04	-0.20	0.11
12.05.2019	13:32:40.5	0.00	0.05	0.00	0.00	0.00	0.00	0.29	0.05	-0.03	0.15
12.05.2019	13:32:40.6	0.00	0.05	0.00	0.00	0.00	0.00	0.25	-0.13	-0.11	0.15
12.05.2019	13:32:40.7	0.00	0.05	0.00	0.00	0.00	0.00	0.21	0.10	-0.06	0.19
12.05.2019	13:32:40.7	0.00	0.05	0.00	0.00	0.00	0.00	0.07	0.28	0.04	0.18
12.05.2019	13:32:40.9	0.00	0.05	0.00	0.00	0.00	0.00	0.10	0.02	-0.03	0.14
12.05.2019	13:32:41.0	0.00	0.05	0.00	0.00	0.00	0.00	0.35	-0.01	-0.06	0.05
12.05.2019	13:32:41.1	0.00	0.05	0.00	0.00	0.00	0.00	0.10	-0.02	-0.09	-0.01
12.05.2019	13:32:41.2	0.00	0.05	0.00	0.00	0.00	0.00	0.19	0.11	-0.08	0.10
12.05.2019	13:32:41.2	1.60	0.05	0.01	0.01	0.01	0.01	0.32	-0.07	-0.06	0.17
12.05.2019	13:32:41.4	10.99	0.05	0.04	0.04	0.04	0.04	0.02	-0.05	0.00	0.17
12.05.2019	13:32:41.5	18.50	0.05	0.07	0.07	0.07	0.07	0.14	-0.06	-0.05	0.15
12.05.2019	13:32:41.6	23.38	0.05	0.10	0.10	0.10	0.10	0.16	0.01	0.00	0.14
12.05.2019	13:32:41.7	24.99	0.05	0.13	0.13	0.13	0.13	0.18	-0.03	0.07	0.15
12.05.2019	13:32:41.7	23.12	0.05	0.16	0.16	0.16	0.16	0.20	-0.03	-0.06	0.16
12.05.2019	13:32:41.9	17.97	0.05	0.19	0.19	0.19	0.19	0.33	-0.03	0.14	0.14
12.05.2019	13:32:42.0	10.30	0.05	0.22	0.22	0.22	0.22	0.28	0.09	0.32	0.14
12.05.2019	13:32:42.1	1.18	0.05	0.25	0.25	0.25	0.25	0.39	0.10	0.31	0.04
12.05.2019	13:32:42.2	-8.10	0.05	0.28	0.28	0.28	0.28	0.70	-0.28	0.37	0.13
12.05.2019	13:32:42.2	-16.23	0.05	0.31	0.31	0.31	0.31	0.74	-0.15	0.46	0.15
12.05.2019	13:32:42.4	-22.10	0.05	0.34	0.34	0.34	0.34	0.70	-0.04	0.60	0.12
12.05.2019	13:32:42.5	-24.83	0.05	0.37	0.37	0.37	0.37	0.91	-0.09	0.65	0.13
12.05.2019	13:32:42.6	-24.14	0.05	0.40	0.40	0.40	0.40	0.85	-0.02	0.86	0.13
12.05.2019	13:32:42.7	-19.99	0.05	0.43	0.43	0.43	0.43	0.93	0.01	0.68	0.15
12.05.2019	13:32:42.7	-13.08	0.05	0.46	0.46	0.46	0.46	0.92	-0.04	0.90	0.15
