Date	Time	S1 [°]	S2 [°]	L1 contact [mm]	L2 contact [mm]	L3 contact [mm]	L4 contact [mm]	Loading1 [N]	Loading2 [N]	Loading3 [N]	Loading4 [N]
12.05.2019	11:21:33.2	0.00	0.04	0.00	0.00	0.00	0.00	0.08	0.21	-0.00	0.03
12.05.2019	11:21:33.6	0.00	0.04	0.00	0.00	0.00	0.00	0.12	0.00	0.07	-0.03
12.05.2019	11:21:33.7	0.00	0.04	0.00	0.00	0.00	0.00	-0.15	-0.02	0.11	0.15
12.05.2019	11:21:33.8	0.00	0.04	0.00	0.00	0.00	0.00	-0.03	-0.02	0.01	-0.08
12.05.2019	11:21:33.9	0.00	0.04	0.00	0.00	0.00	0.00	0.05	0.00	0.01	-0.06
12.05.2019	11:21:34.0	0.00	0.04	0.00	0.00	0.00	0.00	0.03	0.05	0.01	-0.16
12.05.2019	11:21:34.1	0.00	0.04	0.00	0.00	0.00	0.00	-0.20	-0.02	-0.05	-0.04
12.05.2019	11:21:34.2	0.00	0.04	0.00	0.00	0.00	0.00	-0.04	0.01	0.03	-0.11
12.05.2019	11:21:34.3	0.00	0.04	0.00	0.00	0.00	0.00	0.14	-0.12	0.42	-0.04
12.05.2019	11:21:34.4	0.00	0.04	0.00	0.00	0.00	0.00	-0.12	0.29	0.08	-0.08
12.05.2019	11:21:34.5	0.00	0.04	0.00	0.00	0.00	0.00	0.01	0.10	-0.02	-0.02
12.05.2019	11:21:34.6	0.00	0.04	0.00	0.00	0.00	0.00	0.02	0.17	0.01	-0.07
12.05.2019	11:21:34.7	0.01	0.04	0.00	0.00	0.00	0.00	-0.02	-0.05	-0.07	0.30
12.05.2019	11:21:34.8	0.00	0.04	0.00	0.00	0.00	0.00	0.06	0.17	0.26	0.10
12.05.2019	11:21:34.9	0.00	0.04	0.00	0.00	0.00	0.00	-0.14	-0.12	-0.33	-0.01
12.05.2019	11:21:35.0	0.00	0.04	0.00	0.00	0.00	0.00	0.07	-0.02	0.06	-0.01
12.05.2019	11:21:35.1	0.00	0.04	0.00	0.00	0.00	0.00	0.14	0.23	-0.02	0.09
12.05.2019	11:21:35.4	0.00	0.04	0.00	0.00	0.00	0.00	0.14	0.11	0.16	-0.14
12.05.2019	11:21:35.5	0.00	0.04	0.00	0.00	0.00	0.00	0.11	0.39	-0.05	-0.02
12.05.2019	11:21:35.6	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.01	0.01	0.02
12.05.2019	11:21:35.7	0.00	0.04	0.00	0.00	0.00	0.00	-0.10	0.02	0.00	-0.05
12.05.2019	11:21:35.8	0.00	0.04	0.00	0.00	0.00	0.00	-0.06	0.05	-0.00	0.00
12.05.2019	11:21:35.9	0.00	0.04	0.00	0.00	0.00	0.00	0.16	0.02	0.19	-0.03
12.05.2019	11:21:36.0	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.06
12.05.2019	11:21:36.1	0.00	0.04	0.00	0.00	0.00	0.00	-0.07	0.02	0.14	0.00
12.05.2019	11:21:36.2	0.01	0.04	0.00	0.00	0.00	0.00	0.01	0.02	0.05	0.01
12.05.2019	11:21:36.3	0.00	0.04	0.00	0.00	0.00	0.00	-0.08	-0.18	0.08	-0.11
12.05.2019	11:21:36.4	0.00	0.04	0.00	0.00	0.00	0.00	-0.32	-0.13	-0.10	0.16
12.05.2019	11:21:36.5	0.00	0.04	0.00	0.00	0.00	0.00	-0.07	0.02	-0.06	0.03
12.05.2019	11:21:36.6	0.00	0.04	0.00	0.00	0.00	0.00	-0.10	0.06	0.00	-0.27
